State/UT,Total Confirmed cases,Cured/Discharged/Migrated,Deaths
Andaman and Nicobar Islands,11,10,0
Andhra Pradesh,503,16,9
Arunachal Pradesh,1,0,0
Assam,33,0,1
Bihar,70,29,1
Chandigarh,21,7,0
Chattisgarh,33,13,0
Delhi,1561,30,30
Goa,7,5,0
Gujarat,695,59,30
Haryana,199,34,3
Himachal Pradesh,33,13,1
Jammu and Kashmir,278,30,4
Jharkhand,27,0,2
Karnataka,277,75,11
Kerala,387,211,3
Ladakh,17,10,0
Madhya Pradesh,987,64,53
Maharashtra,2687,259,178
Manipur,2,1,0
Meghalaya,7,0,1
Mizoram,1,0,0
Nagaland,0,0,0
Odisha,60,18,1
Puducherry,7,1,0
Punjab,186,14,13
Rajasthan,1005,147,3
Tamil Nadu,1204,81,12
Telengana,647,120,18
Tripura,2,0,0
Uttarakhand,37,9,0
Uttar Pradesh,735,51,11
West Bengal,213,37,7
India,11933,1344,392
